title	type	url_slug	venue	date	location	talk_url	description
Quantum geometry and topological bound 	Talk	JPS2025	"2025 Spring Meeting, The Physical Society of Japan"	2025/3/20	Online	https://jps2025s.gakkai-web.net/data/html/program05.html	"Invited talk for a symposium at 2025 Spring Meeting, The Physical Society of Japan"
Ground state geometry and Topological bound	Seminar	Cornel2025	Online Seminar	2025/4/11	Online		"Invited online seminar, hosted by Omri Lesser at Cornell University"
Universal bounds and geometry in quantum ground states	Seminar	HarvardEslam2025	Seminar in Eslam Khalaf group at Harvard Univesity	2025/9/12	"Cambridge, Massachusetts"		Seminar in Eslam Khalaf group at Harvard University
Universal bounds in quantum many-body systems	Seminar	Caltech2025	Lunch Seminar at Caltech	2025/9/17	"Pasadena, California"		"Lunch seminar at Caltech, hosted by Prof. Jason Alicea"
Universal bounds in quantum many-body systems	Seminar	Berkeley2025	Condensed matter seminar at UC Berkeley	2025/9/22	"Berkeley, California"		"Condensed matter seminar at UC Berkeley, hosted by Prof. Joel Moore"
Bound on energy gap in quantum many-body systems	Seminar	Stanford2025	Stanford University	2025/11/21	"Stanford, California"		"Seminar at Stanford University, hosted by Prof. Trithep Devakul"
Bound on energy gap in quantum many-body systems	Seminar	UTokyo2025Jan	University of Tokyo	2026/1/20	"University of Tokyo, Japan"		"Seminar at University of Tokyo, Department of Physics. Hosted by Hironobu Yoshida."
"Ground state geometry, Structure factor, and Topological bounds"	Talk	APS2025Symposium	APS Global Physics Summit 2026	2026/3/16	"Denver, Colorado"	https://meetings-archive.aps.org/smt/2026/mar-a04/2/	Invited talk at APS Global Physics Summit 2026. 
Emergent curved space in quantum materials	Talk	APS2025Contributed	APS Global Physics Summit 2026	2026/3/16	"Denver, Colorado"	https://meetings-archive.aps.org/smt/2026/mar-c41/4/	Contributed talk at APS Global Physics Summit 2026. 
Repulsive Casimir Effect and Quatnum Geometric Force	Talk	SolvayKahler2026May	"Solvay Workshop ""K?hler geometry: From topological quantum matter to quantum field theories"""	2026/5/28	"Solvay Institute, Bergium"	https://solvayinstitutes.be/activities/workshop/kahler-geometry-from-topological-quantum-matter-to-quantum-field-theories/	Invited talk for a workshop at Solvay Institute.
